Sites,EstimatedArea,DepositThickness,SampledVolume,Artifacts,Cores,Blanks,Chips,RetouchedTools,ToolTypes,Features
AR I,50,0.25,0.5,2048,84,890,849,204,38,0
CPM III Trench,8,0.15,0.45,1487,24,807,529,90,35,1
CPM I Upper,70,0.35,1.4,4703,217,1601,1241,1481,72,0
CPM II Upper,70,0.25,1,2393,34,1180,925,187,43,0
CPM II Middle,40,0.25,1.75,2260,41,1047,995,120,37,0
CPM I Lower,70,0.3,2.1,1766,78,843,585,202,45,1
CPM III Upper,60,0.25,0.75,2148,90,1047,699,268,50,0
CPM III S,100,0.35,1.4,5179,75,2597,1841,382,55,2
CPM V,50,0.2,1.8,2701,33,1033,1397,162,39,0
CR II,100,0.25,1.5,2151,46,1264,607,171,41,1
PC,100,0.25,1,2431,29,956,1148,205,41,0
QS,5,0.05,0.25,1438,8,378,975,8,2,0
VB Shelter 2,2,0.5,1,54,0,8,13,31,3,0
VB Shelter Z,8,0.15,0.9,1156,22,323,581,33,15,0
VB Shelter B,30,0.25,6,12819,80,2304,7867,141,31,1
Picareiro F/G,25,0.35,5.6,1954,19,261,1510,121,43,1
